alpha,G,gate,beta,recall,complete,cands,p95
0.0,2,true,0.25,0.768733600864331,0.48594562104444367,3.2546333333333335,6.0
0.7,5,false,0.25,0.7637366877604569,0.47459604709542835,3.265,6.0
0.7,3,true,0.5,0.7578812316715543,0.4666407382526606,3.2958,7.0
0.5,2,false,0.25,0.7616723259762309,0.4697167910051975,3.3054,6.0
0.7,99,false,0.25,0.7653476616761846,0.4761871088639819,3.3084666666666664,6.0
0.7,5,true,0.5,0.7631000154344806,0.4743131916699077,3.3377,7.0
0.5,3,true,0.0,0.8020141997221794,0.5374606654173886,3.3457333333333334,6.0
0.5,2,true,0.5,0.7609198950455317,0.4697167910051975,3.3461333333333334,7.0
0.0,2,false,0.0,0.764489118691156,0.47774281370434535,3.3583,6.0
0.7,99,true,0.5,0.764788161753357,0.4760456811512216,3.3799333333333332,7.0
0.7,3,false,0.5,0.7600131193085353,0.4690096524413959,3.412,7.0
0.5,5,true,0.0,0.815596542676339,0.5619630166531132,3.424366666666667,6.0
0.5,3,true,0.25,0.809403457323661,0.549764876427536,3.4366,6.0
0.0,2,false,0.25,0.7716950918351597,0.4885620337305095,3.4467666666666665,6.0
0.0,2,true,0.5,0.7711452384627258,0.48948131386345156,3.452733333333333,7.0
0.7,5,false,0.5,0.7652415496218552,0.47682353357140334,3.4622,7.0
0.5,99,true,0.0,0.8200725420589597,0.5678676236608563,3.4861333333333335,6.0
0.5,2,false,0.5,0.7628106189226732,0.4713432097019411,3.4965333333333333,7.0
0.7,99,false,0.5,0.7669489890415188,0.4785206661245271,3.516166666666667,7.0
0.5,3,false,0.0,0.8050239234449761,0.5418449245129583,3.5296,6.0
0.5,5,true,0.25,0.8233234295415959,0.5751157939398225,3.529733333333333,7.0
0.0,3,true,0.0,0.8302400061737922,0.5961885231411095,3.5542,7.0
0.5,5,false,0.0,0.8189246025621237,0.5675140543789555,3.6241,7.0
0.5,3,false,0.25,0.8126157586047229,0.5543966340204363,3.6258333333333335,7.0
0.5,99,true,0.25,0.8284071615990122,0.5817628964395574,3.6281,7.0
0.0,2,false,0.5,0.77288161753357,0.49100166177562493,3.6519333333333335,7.0
0.5,3,true,0.5,0.8111301898441118,0.5526995014673125,3.659666666666667,7.0
0.0,3,true,0.25,0.838545686062664,0.6111798606937029,3.6653333333333333,7.0
0.5,99,false,0.0,0.8236031795030098,0.5737722306685995,3.7043,7.0
0.0,5,true,0.0,0.8578002006482481,0.6544920977265495,3.734933333333333,7.0
0.5,5,false,0.25,0.8267286618305294,0.5808082593784252,3.738933333333333,7.0
0.5,5,true,0.5,0.8249633431085044,0.577979705123219,3.7869,7.0
0.0,3,false,0.0,0.8341565056335855,0.6026234840717039,3.8217,7.0
0.5,3,false,0.5,0.8140241549621855,0.5566241204964113,3.8602,7.0
0.5,99,false,0.25,0.8319763852446365,0.5877735742318707,3.8715333333333333,7.0
0.0,5,true,0.25,0.8669644235221485,0.671321995545027,3.890233333333333,7.0
0.5,99,true,0.5,0.8303171785769409,0.5848743061202842,3.9223333333333334,8.0
0.0,3,true,0.5,0.8400987806760303,0.6142912703744299,3.9289,7.0
0.0,3,false,0.25,0.842327133816947,0.6171551815578262,3.9467,7.0
0.5,5,false,0.5,0.8283492822966507,0.5836014567054414,4.017766666666667,8.0
0.0,5,false,0.0,0.8626331223954314,0.6638263267687303,4.0628,7.0
0.0,99,true,0.0,0.8916885321808922,0.7329137644521444,4.122566666666667,7.0
0.5,99,false,0.5,0.8338960487729588,0.5909203408407877,4.200333333333333,8.0
0.0,3,false,0.5,0.8441889180429079,0.6204080189513135,4.248166666666667,8.0
0.0,5,false,0.25,0.8718745176724804,0.6811158646536789,4.252566666666667,7.0
0.0,5,true,0.5,0.8687972680969286,0.6751405437895556,4.2533,8.0
0.0,99,true,0.25,0.903843185676802,0.7571332602623484,4.438766666666667,8.0
0.0,99,false,0.0,0.8971774193548387,0.7447583353958208,4.5972,8.0
0.0,5,false,0.5,0.8738327674023769,0.6848283421136372,4.710133333333333,8.0
0.0,1,true,-1.0,0.6256366723259762,0.3185659229926104,4.973166666666667,15.0
0.5,1,true,-1.0,0.6249131810464578,0.3187073507053707,4.975933333333334,15.0
0.8,1,true,-1.0,0.6252122241086587,0.3187780645617509,4.977766666666667,15.0
0.7,1,true,-1.0,0.6252025775582651,0.3187427076335608,4.9819,15.0
0.9,1,true,-1.0,0.6254244482173175,0.3187427076335608,4.9821,15.0
0.0,99,true,0.5,0.906592452538972,0.7624367994908602,5.0271333333333335,10.0
0.5,1,false,-1.0,0.6263022843031332,0.319273061556412,5.037833333333333,15.0
0.7,1,false,-1.0,0.6258006636826671,0.3190255630590814,5.0388,15.0
0.9,1,false,-1.0,0.6258971291866029,0.319273061556412,5.0415,15.0
0.8,1,false,-1.0,0.6259067757369965,0.3193791323409822,5.0418666666666665,15.0
0.0,1,false,-1.0,0.6271222410865874,0.3191316338436517,5.046666666666667,15.0
0.0,99,false,0.25,0.9094767711066523,0.7694021143443057,5.062266666666667,9.0
0.9,2,true,-1.0,0.6787216391418429,0.36993953965279497,5.491033333333333,17.0
0.9,3,true,-1.0,0.6837474918968977,0.3755259343068274,5.5563,17.0
0.9,2,false,-1.0,0.6797055872819879,0.37036382279107594,5.572666666666667,17.0
0.9,5,true,-1.0,0.6846060348819262,0.37619771594243895,5.588633333333333,17.0
0.9,99,true,-1.0,0.6848086124401914,0.3763391436551992,5.6197,17.0
0.9,3,false,-1.0,0.6848279055409785,0.37619771594243895,5.6468,17.0
0.9,5,false,-1.0,0.6856864485260071,0.3769048545062405,5.688,17.0
0.9,99,false,-1.0,0.6859276122858465,0.3770816391471909,5.737133333333333,17.0
0.8,2,true,-1.0,0.7158994443586973,0.4126507089064102,5.881866666666666,17.0
0.0,99,false,0.5,0.9122356845192159,0.7747410105010076,5.938,12.0
0.8,2,false,-1.0,0.7171245562586819,0.41342856132659195,5.984133333333333,17.0
0.8,3,true,-1.0,0.7293370890569533,0.43121309620620163,6.051666666666667,18.0
0.8,5,true,-1.0,0.7319898904151876,0.4343952197433087,6.1396,18.0
0.8,3,false,-1.0,0.7307744250655965,0.43230916098009403,6.177666666666667,18.0
0.8,99,true,-1.0,0.7326940885939188,0.4350316444507301,6.2537666666666665,19.0
0.8,5,false,-1.0,0.733446519524618,0.43563271222996147,6.283966666666666,18.0
0.7,2,true,-1.0,0.7494019138755981,0.4574479369232401,6.295833333333333,18.0
0.8,99,false,-1.0,0.7341507177033493,0.43630449386557296,6.449433333333333,19.0
0.7,2,false,-1.0,0.7508296033338479,0.4585086447689425,6.450266666666667,18.0
0.7,3,true,-1.0,0.7764508411791943,0.4993458968284835,6.647,19.0
0.5,2,true,-1.0,0.7792965735453002,0.5016087402326486,6.7388,19.0
0.7,5,true,-1.0,0.7822098317641611,0.5078669165222925,6.822033333333334,19.0
0.7,3,false,-1.0,0.778544142614601,0.5012905278789379,6.8431,19.0
0.5,2,false,-1.0,0.7813609353295261,0.5032351589293922,6.979233333333333,19.0
0.7,5,false,-1.0,0.784438184905078,0.5104833292083584,7.0554,20.0
0.0,2,true,-1.0,0.7899463651798116,0.5221864724392745,7.078433333333333,19.0
0.7,99,true,-1.0,0.7845346504090137,0.5102004737828377,7.157033333333334,21.0
0.0,2,false,-1.0,0.7924641148325359,0.5254393098327618,7.472,19.0
0.5,3,true,-1.0,0.8311660750115759,0.5907789131280274,7.4781,20.0
0.7,99,false,-1.0,0.7867437104491434,0.5127461726125234,7.519633333333333,22.0
0.5,3,false,-1.0,0.8342047383855533,0.5953045999363575,7.842666666666666,20.0
0.5,5,true,-1.0,0.8459156505633585,0.6187108863981897,7.9915,21.0
0.5,5,false,-1.0,0.8493015897515048,0.6246508503341229,8.492166666666666,22.0
0.0,3,true,-1.0,0.8623919586355919,0.6588056429657392,8.778533333333334,21.0
0.5,99,true,-1.0,0.8530637444050008,0.6281158292967507,9.422166666666667,28.0
0.0,3,false,-1.0,0.8664145701497145,0.665028462327193,9.776166666666667,22.0
0.5,99,false,-1.0,0.8567004939033801,0.6343740055863947,10.597233333333334,33.0
0.0,5,true,-1.0,0.8930004630344189,0.7265495173779302,11.494733333333333,26.0
0.0,5,false,-1.0,0.898248186448526,0.737227309691334,14.158033333333334,28.0
0.0,99,true,-1.0,0.9557705664454391,0.8821553583424672,43.15383333333333,82.0
0.0,99,false,-1.0,0.9617128414878839,0.8958031326238376,91.57903333333333,111.0
